double value = start;#1263,19.896577321566067
private double value;#857,19.683441480000813
double value;#968,19.47342847188314
public void setValueRange(double valueRange) {#1005,19.3066507138704
private double[] fitnessHistory;#226,19.235291385650633
RealMatrix Cneg = artmp.multiply(diag(weights)).multiply(#755,19.207676887512207
double[][] d = new double[n][m];#1205,19.20747811453683
private double cs;#187,19.19756031036377
private double valueRange;#907,19.148711351247933
public double[] decode(final double[] x) {#951,19.11377209111264
public FitnessFunction() {#916,19.0186463869535
double sumw = 0;#604,19.009979724884033
double sumwq = 0;#605,19.009196217854818
double[][] d = new double[n][m];#1218,18.976560774303618
RealMatrix arz = randn1(dimension, lambda);#376,18.926051698882006
public double[] encode(final double[] x) {#925,18.918713268480804
chiN = Math.sqrt(dimension) *#628,18.912996643467952
private double normps;#209,18.89771122402615
private boolean isRepairMode;#912,18.82376855214437
double historyWorst = max(fitnessHistory);#456,18.809397202950937
private RealMatrix BD;#215,18.795451482137043
public boolean isFeasible(final double[] x) {#985,18.795117378234863
double[] randn = new double[size];#1362,18.75851117240058
double[][] d = new double[m.getRowDimension()][1];#1177,18.748611419431626
RealMatrix arx = zeros(dimension, lambda);#377,18.7391642502376
d[r][c] = Math.sqrt(m.getEntry(r, c));#1067,18.734883514610498
private double stopTolX;#165,18.72800384868275
this.lambda = lambda;#314,18.72448124204363
public double[] repairAndDecode(final double[] x) {#941,18.71587597240101
double[][] d = new double[n * rd][m * cd];#1245,18.699000395261326
private double sigma;#183,18.69568093617757
double[][] d = new double[1][m.getColumnDimension()];#1153,18.693786727057564
weights = weights.scalarMultiply(1. / sumw);#611,18.677809410095215
double[][] d = new double[m.getRowDimension()][m.getColumnDimension()];#1064,18.668502865415633
double[][] d = new double[m.getRowDimension()][m.getColumnDimension()];#1139,18.642279509342078
.add(arpos.scalarMultiply(#762,18.64029193568874
double[][] d = new double[m.getRowDimension()][m.getColumnDimension()];#1094,18.62836993824352
checkParameters();#356,18.6273250579834
RealMatrix arnorms = sqrt(sumRows(square(arzneg)));#739,18.622353341844345
double[][] d = new double[m.getRowDimension()][m.getColumnDimension()];#1049,18.6194629091205
for (int k = 0; k < lambda; k++) {#380,18.612387816111248
break;#444,18.611166954040527
repaired[i] = 0;#1017,18.611070385685675
break generationLoop;#459,18.60568384329478
double[][] d = new double[size][popSize];#1375,18.601882110942494
stopTolX = 1e-11 * max(insigma);#596,18.594653129577637
for (int r = 0; r < size; r++) {#1264,18.594519745219838
double[][] d = new double[m.getRowDimension()][m.getColumnDimension()];#1078,18.58981042919737
RealMatrix arzneg#737,18.584433192298526
break;#391,18.58019587198893
(dimension + 1.)) - 1.)) *#619,18.57725203478778
private double stopTolUpX;#163,18.56974697113037
RealMatrix zmean = bestArz.multiply(weights);#410,18.56459346894295
